"Total, % of GDP, 2021",,,"General public services, % of GDP, 2021",,,"Defence, % of GDP, 2021",,,"Public order and safety, % of GDP, 2021",,,"Economic affairs, % of GDP, 2021",,,"Environmental protection, % of GDP, 2021",,,"Housing and community amenities, % of GDP, 2021",,,"Health, % of GDP, 2021",,,"Recreation, culture and religion, % of GDP, 2021",,,"Education, % of GDP, 2021",,,"Social protection, % of GDP, 2021",,,,,,General public services,Education,Health,Social protection,Public order and safety,Housing and community amenities,Economic affairs,Environmental protection,"Recreation, culture and religion",Defence
Category,General government spending,,Category,General government spending,,Category,General government spending,,Category,General government spending,,Category,General government spending,,Category,General government spending,,Category,General government spending,,Category,General government spending,,Category,General government spending,,Category,General government spending,,Category,General government spending,,,,Australia,3.772510191,5.732847424,8.137677485,10.64811263,2.028869104,0.673146693,5.868539671,0.903386349,0.912686796,2.37735731
France,59.01696083,,Finland,8.114049086,,Israel,5.041171972,,Slovak Rep.,2.226586152,,Greece,10.70521214,,Netherlands,1.371258702,,France,1.255256547,,United States,10.29175163,,Iceland,3.266450711,,Iceland,7.689295971,,France,24.73852152,,,,Austria,5.799705766,4.96019632,10.09995474,21.95472269,1.405488116,0.301259926,9.326623128,0.432189286,1.204168616,0.596249515
Greece,57.50291205,,Hungary,8.008451451,,United States,3.256784697,,Greece,2.200546439,,Austria,9.326623128,,Belgium,1.329967775,,Korea,1.219080775,,Austria,10.09995474,,Hungary,2.997400004,,Sweden,6.648084282,,Finland,24.72433217,,,,Belgium,6.886170839,6.213065748,8.523976551,20.78921961,1.734846719,0.356427347,6.984314362,1.329967775,1.183628597,0.876558484
Austria,56.08055564,,Italy,7.92594375,,Greece,2.77630283,,Latvia,2.200070485,,Hungary,9.192176906,,Greece,1.2049562,,Latvia,1.001261463,,United Kingdom,9.865114123,,Estonia,2.051524227,,Israel,6.59797327,,Italy,22.85824662,,,,Chile,2.386224092,4.037878236,5.760554832,15.97879379,1.621041173,0.829949199,2.329655444,0.154802316,0.275309807,0.76358791
Finland,55.82293429,,Greece,7.862242784,,Korea,2.680138458,,Poland,2.168686453,,Czechia,7.537982198,,Japan,1.154102457,,Chile,0.829949199,,Czechia,9.829920096,,Norway,1.691961763,,Belgium,6.213065748,,Austria,21.95472269,,,,Czechia,4.6347048,5.053025046,9.829920096,13.63649683,1.955222349,0.624713831,7.537982198,0.93163589,1.345323412,0.96467065
Belgium,54.87819572,,Iceland,7.034809607,,Australia,2.37735731,,United Kingdom,2.069455566,,Latvia,7.241221497,,Korea,1.142049665,,United Kingdom,0.829174473,,France,9.211476038,,Denmark,1.586446313,,Denmark,5.92980573,,Germany,20.81256133,,,,Denmark,5.939019225,5.92980573,9.072235011,20.74847831,0.93616956,0.111150042,3.998853096,0.362619661,1.586446313,1.194265054
Italy,54.1152894,,Belgium,6.886170839,,Latvia,2.34781135,,Australia,2.028869104,,Belgium,6.984314362,,France,1.039639218,,United States,0.765589105,,Japan,9.196105496,,Finland,1.495228673,,Estonia,5.91065405,,Belgium,20.78921961,,,,Estonia,3.836550654,5.91065405,6.491988151,13.47753786,1.826050552,0.461123877,4.825899882,0.554620718,2.051524227,2.035305387
Germany,51.03039434,,Portugal,6.712689002,,United Kingdom,2.151895797,,Spain,2.014333751,,France,6.870379415,,Spain,0.997635586,,Hungary,0.765121087,,Denmark,9.072235011,,Latvia,1.453869667,,Australia,5.732847424,,Denmark,20.74847831,,,,Finland,8.114049086,5.711230971,7.730268407,24.72433217,1.160118725,0.402530878,5.058564453,0.2309865,1.495228673,1.195624422
Spain,49.97701037,,Sweden,6.63937208,,Estonia,2.035305387,,United States,1.972856925,,Slovenia,6.836963509,,Czechia,0.93163589,,Norway,0.719841771,,Iceland,8.940225677,,Slovenia,1.431116473,,Finland,5.711230971,,Greece,20.63411735,,,,France,5.795010467,5.238122263,9.211476038,24.73852152,1.707992988,1.255256547,6.870379415,1.039639218,1.407687407,1.75291493
Denmark,49.87900279,,Germany,6.197929481,,Lithuania,1.825733985,,Czechia,1.955222349,,Slovak Rep.,6.679179934,,Italy,0.931108251,,Australia,0.673146693,,Germany,8.604901243,,France,1.407687407,,Slovenia,5.661916595,,Spain,20.3285636,,,,Germany,6.197929481,4.511299396,8.604901243,20.81256133,1.666809493,0.450925376,6.004367718,0.573332043,1.103650361,1.104617894
